user_id,recommended_learning_path
79.0,learning_path_id_15
81.0,learning_path_id_15
90.0,learning_path_id_15
112.0,learning_path_id_15
113.0,learning_path_id_15
137.0,learning_path_id_15
138.0,learning_path_id_15
160.0,learning_path_id_15
196.0,learning_path_id_15
198.0,learning_path_id_15
214.0,learning_path_id_15
239.0,learning_path_id_15
261.0,learning_path_id_15
284.0,learning_path_id_15
294.0,learning_path_id_15
300.0,learning_path_id_15
302.0,learning_path_id_15
326.0,learning_path_id_15
420.0,learning_path_id_15
434.0,learning_path_id_15
447.0,learning_path_id_15
485.0,learning_path_id_15
489.0,learning_path_id_15
514.0,learning_path_id_15
534.0,learning_path_id_15
537.0,learning_path_id_15
589.0,learning_path_id_15
601.0,learning_path_id_15
613.0,learning_path_id_15
615.0,learning_path_id_15
631.0,learning_path_id_15
653.0,learning_path_id_15
667.0,learning_path_id_15
731.0,learning_path_id_15
759.0,learning_path_id_15
768.0,learning_path_id_15
808.0,learning_path_id_15
830.0,learning_path_id_15
865.0,learning_path_id_15
894.0,learning_path_id_15
911.0,learning_path_id_15
917.0,learning_path_id_15
926.0,learning_path_id_15
7.0,learning_path_id_19
31.0,learning_path_id_19
73.0,learning_path_id_19
82.0,learning_path_id_19
94.0,learning_path_id_19
159.0,learning_path_id_19
219.0,learning_path_id_19
227.0,learning_path_id_19
251.0,learning_path_id_19
256.0,learning_path_id_19
264.0,learning_path_id_19
292.0,learning_path_id_19
301.0,learning_path_id_19
329.0,learning_path_id_19
385.0,learning_path_id_19
427.0,learning_path_id_19
431.0,learning_path_id_19
472.0,learning_path_id_19
482.0,learning_path_id_19
512.0,learning_path_id_19
523.0,learning_path_id_19
527.0,learning_path_id_19
564.0,learning_path_id_19
603.0,learning_path_id_19
619.0,learning_path_id_19
629.0,learning_path_id_19
648.0,learning_path_id_19
674.0,learning_path_id_19
680.0,learning_path_id_19
693.0,learning_path_id_19
717.0,learning_path_id_19
726.0,learning_path_id_19
737.0,learning_path_id_19
762.0,learning_path_id_19
763.0,learning_path_id_19
776.0,learning_path_id_19
783.0,learning_path_id_19
820.0,learning_path_id_19
823.0,learning_path_id_19
861.0,learning_path_id_19
871.0,learning_path_id_19
872.0,learning_path_id_19
915.0,learning_path_id_19
921.0,learning_path_id_19
970.0,learning_path_id_19
981.0,learning_path_id_19
1000.0,learning_path_id_19
9.0,learning_path_id_15
10.0,learning_path_id_15
21.0,learning_path_id_15
34.0,learning_path_id_15
48.0,learning_path_id_15
54.0,learning_path_id_15
65.0,learning_path_id_15
102.0,learning_path_id_15
103.0,learning_path_id_15
108.0,learning_path_id_15
152.0,learning_path_id_15
168.0,learning_path_id_15
176.0,learning_path_id_15
232.0,learning_path_id_15
250.0,learning_path_id_15
257.0,learning_path_id_15
258.0,learning_path_id_15
259.0,learning_path_id_15
319.0,learning_path_id_15
320.0,learning_path_id_15
333.0,learning_path_id_15
334.0,learning_path_id_15
341.0,learning_path_id_15
343.0,learning_path_id_15
350.0,learning_path_id_15
351.0,learning_path_id_15
370.0,learning_path_id_15
380.0,learning_path_id_15
415.0,learning_path_id_15
422.0,learning_path_id_15
430.0,learning_path_id_15
439.0,learning_path_id_15
520.0,learning_path_id_15
530.0,learning_path_id_15
568.0,learning_path_id_15
576.0,learning_path_id_15
582.0,learning_path_id_15
595.0,learning_path_id_15
608.0,learning_path_id_15
610.0,learning_path_id_15
623.0,learning_path_id_15
650.0,learning_path_id_15
656.0,learning_path_id_15
720.0,learning_path_id_15
747.0,learning_path_id_15
758.0,learning_path_id_15
761.0,learning_path_id_15
781.0,learning_path_id_15
784.0,learning_path_id_15
791.0,learning_path_id_15
794.0,learning_path_id_15
828.0,learning_path_id_15
838.0,learning_path_id_15
848.0,learning_path_id_15
890.0,learning_path_id_15
901.0,learning_path_id_15
978.0,learning_path_id_15
998.0,learning_path_id_15
11.0,learning_path_id_20
15.0,learning_path_id_20
61.0,learning_path_id_20
64.0,learning_path_id_20
66.0,learning_path_id_20
68.0,learning_path_id_20
119.0,learning_path_id_20
172.0,learning_path_id_20
192.0,learning_path_id_20
200.0,learning_path_id_20
213.0,learning_path_id_20
255.0,learning_path_id_20
266.0,learning_path_id_20
267.0,learning_path_id_20
269.0,learning_path_id_20
308.0,learning_path_id_20
311.0,learning_path_id_20
315.0,learning_path_id_20
376.0,learning_path_id_20
404.0,learning_path_id_20
428.0,learning_path_id_20
484.0,learning_path_id_20
491.0,learning_path_id_20
500.0,learning_path_id_20
563.0,learning_path_id_20
573.0,learning_path_id_20
590.0,learning_path_id_20
614.0,learning_path_id_20
617.0,learning_path_id_20
664.0,learning_path_id_20
689.0,learning_path_id_20
690.0,learning_path_id_20
710.0,learning_path_id_20
754.0,learning_path_id_20
